parameter,EDF original,CMA Miyauti,12ŒŽ16“ú,12ŒŽ17“ú
massx_nd,0.0467,0.0326,0.036735124,0.026964117
massy_nd,0.2579,0.18,0.276386541,0.191998573
IzzJzz_nd,0.0286,0.0372,0.028198138,0.034838124
xuu_nd,-0.02139,-0.02139,-0.02139,
xvr_nd,0.4535,-0.0769,-0.160195669,5.84589361
yv_nd,-0.3728,-0.0274,-0.568226244,-0.206550909
nv_nd,0.116,0.18,-0.233400727,-0.478074513
yr_nd,-0.1458,-0.1028,-0.273144476,-0.7902272
nr_nd,-0.04849,-0.02146,-0.101897165,-0.176037573
coeff_drag_sway,0.9665,0.7738,0.974072722,4.76386664
cry_cross_flow,2.217,0.935,2.178331632,-3.482942929
crn_cross_flow,0.8097,0.8671,0.913052164,1.327533339
coeff_drag_aft,-0.03189,-0.10573,-0.203222513,-0.581533629
t_prop,0.22,0.076,0.231977848,0.527827213
w_prop_zero,0.614,0.836,1.139919092,0.763545383
tau_prop,0.871,0.00616,0.784386318,0.031938305
coeff_cp_prop,-0.359,-0.00762,-0.229446733,0.659716769
xp_prop_nd,-0.517,-4.09,-0.426268363,0.279310175
kt_coeff0,0.3278,0.3278,0.3278,
kt_coeff1,-0.3323,-0.3323,-0.3323,
kt_coeff2,-0.156,-0.156,-0.156,
ai_coeff_prop0,-0.000079,0.000796,0.000344224,-0.005588438
ai_coeff_prop1,0.00799,0.00869,0.049150097,0.121452722
ai_coeff_prop2,-0.00493,-0.0496,-0.006865449,1.146682763
ai_coeff_prop3,-0.00587,-0.059,-0.004505093,1.283556041
ai_coeff_prop4,-0.000558,-0.00192,-0.003693343,0.131837339
ai_coeff_prop5,0.00508,0.0507,-0.001812194,4.500221681
ai_coeff_prop6,0.0017,-0.017,-0.00079175,0.04697345
ai_coeff_prop7,0.000916,0.000964,0.004385053,0.093414477
bi_coeff_prop0,0.000035,-0.000175,0.000343862,0.005210895
bi_coeff_prop1,-0.00317,-0.00202,0.004132909,0.182980251
bi_coeff_prop2,0.00196,0.0153,0.018478463,0.868932078
bi_coeff_prop3,0.00233,0.0196,0.009629065,0.602377859
bi_coeff_prop4,0.000225,0.000318,-0.000413151,0.007272304
bi_coeff_prop5,-0.00216,-0.0217,0.020339431,1.222778423
bi_coeff_prop6,0.0000627,0.000628,0.000342142,0.038626841
bi_coeff_prop7,0.0000625,0.000345,-0.00040769,-0.001766179
ci_coeff_prop0,-0.251,0.998,-0.15282291,5.381001635
ci_coeff_prop1,-0.175,-0.18,-0.152471565,5.675220521
ci_coeff_prop2,0.33,0.43,0.31999409,3.746832714
ci_coeff_prop3,-0.233,-0.518,-0.307784233,4.738750452
t_rudder,0.19,0.079,0.526259105,1.076948561
ah_rudder,0.393,-0.0711,0.60406815,0.008268873
xh_rudder_nd,-0.45,-1.48,-0.48593941,-0.271682532
kx_rudder,0.288,0.566,-0.575519312,-0.564660498
epsilon_rudder,1.42,6.54,1.383113939,3.475699656
lr_rudder_nd,-1.08,10.847,-1.200878022,3.588802722
gammaN_rudder,0.4406,-0.1438,0.471494241,0.497760567
gammaP_rudder,0.3506,-0.05163,0.14792025,-0.397110914
kx_rudder_reverse,0.144,0.0954,0.029897385,0.874100654
cpr_rudder,-0.176,-0.358,-0.163705389,-1.386634556
XX0,0.4406,-0.0025208,0.050393072,0.142912953
XX1,0.3506,-1.21442,-0.782553994,-9.902221109
XX3,0.060273613,-0.1437543,-0.200890739,-0.568182532
XX5,0.044558221,-0.1037918,0.248797199,0.356915227
YY1,1.058172083,0.6920638,1.094429305,0.964385013
YY3,0.002321463,-0.023391,-0.00037668,1.262105436
YY5,-0.015293452,-0.0954,0.038663508,0.224668449
NN1,-0.030727798,-0.0072221,0.085149692,0.234565817
NN2,0.10411637,0.0655171,0.093836724,1.243606971
NN3,-0.00088,-0.0059071,0.006446508,-0.038770828
